NAME,URL,SECTOR,TWITTER,DATA SOURCE
WorkCompass,www.workcompass.com,HR & Recruitment,,Accenture
Worky,http://www.worky.com,HR & Recruitment,@workyworks,"Bank of Ireland, IVCA"
WorldBox,WorldBOX.ie,Enterprise,,
WorldNet,http://worldnettps.com,FinTech,,Accenture
Wripl,http://wripl.com,Enterprise,@wripl,"Trinity Research & Innovation, Accenture"
Writing for Tiny,http://www.writingfortiny.com,Entertainment & Publishing,@writingfortiny,"DIT Hothouse, Trinity Research & Innovation"
Xcelerit,http://www.xcelerit.com,FinTech,@xcelerit,Trinity Research & Innovation
Xiam,http://www.xiam.com,Advertising & Marketing,,Crunchbase
Xilinx,http://www.xilinx.com,Enterprise,@XilinxInc,Crunchbase
Xintec,http://www.xintec.com,Security & Encryption,@XINTECGlobal,AIB
Xlnglabs,www.xlnglabs.com,Entertainment & Publishing,,DIT Hothouse
Xlrollup,https://xlrollup.com/,FinTech,,NDRC
Xoftsilicon,http://www.xoftsilicon.com,Enterprise,,Crunchbase
Xpertivity,http://www.xpertivity.com/,Enterprise,,AIB
Xpreso,http://web.xpreso.com/,eCommerce,@xpresosoftware,"Web Summit, NDRC, Accenture"
XSellco,http://www.xsellco.com/,eCommerce,@Xsellco,
Xtreme Push,https://xtremepush.com/,Advertising & Marketing,,DCU
Xwerx,http://xwerx.com/,Enterprise,@xwerx,"AIB, Digital Hub"
YapMe,http://www.yapme.co/,Social Media,@GetYapMe,NDRC
Yapping,http://irishyapping.com/,Social Media,@IrishYapping,Silicon Republic
YellowSchedule,http://www.yellowschedule.com,Digital Health,@yellowschedule,"AIB, Bank of Ireland, IVCA, Accenture"
Yendo,http://www.yendo.com,FinTech,@yendobusiness,Crunchbase
Yohgo,http://www.yohgo.com/,Philanthropy & Social Good,,
Your Smile Direct,http://www.yoursmiledirect.com/,Digital Health,@Yoursmiledirect,DIT Hothouse
Zamano,http://Zamano.com,Advertising & Marketing,@zamano,AIB
Zapplab,http://www.zapplab.net,Enterprise,@zapplab,Crunchbase
Zeduki,http://zeduki.com,EdTech,@zeduki,Crunchbase
Zend Technologies,http://www.zend.com,Enterprise,@zend,Digital Hub
ZenDoc,http://www.getzendoc.com,Enterprise,@zendochq,NDRC
ZenFieldservice,http://www.ZenFieldservice.com,Enterprise,@ZenFieldservice,Crunchbase
Zerogrey,http://www.zerogrey.com,eCommerce,@zerogrey,AIB
ZeroTouch,http://www.zerotouch.ie,Enterprise,,Crunchbase
Zeto,http://www.zeto.ie,Big Data & Analytics,,DCU Ryan Academy
Zignals,http://www.zignals.com,FinTech,@zignals,AIB
