NAME,URL,SECTOR,TWITTER,DATA SOURCE
Source-Code,http://www.source-code.com,HR & Recruitment,@Source_Code100,"Bank of Ireland, IVCA"
Spanish Point Technologies,http://www.spanishpoint.ie/,Enterprise,@spanish_point,AIB
SparkPage,http://sparkpage.com,Enterprise,,DCSO
SportCurve,http://www.sportcurve.com/,Sports,@sportcurve1,Web Summit
Sportora,https://www.sportora.com/,Social Media,@sportorafans,Crunchbase
Sprism,http://www.sprism.ie,Big Data & Analytics,@sprismActual,"Bank of Ireland, IVCA, Dell"
Square1,http://www.square1.io/,Enterprise,,
Squelo,http://squelo.com/,Social Media,,
Staff Balance,http://staffbalance.ie/,HR & Recruitment,,"AIB, Dublin BIC"
StaffOrg.com,http://www.stafforg.com,HR & Recruitment,@StaffOrgcom,"Bank of Ireland, IVCA"
Stageville,https://www.crunchbase.com/organization/stageville#/entity,Entertainment & Publishing,@stageville,Trinity Research & Innovation
StarDing,http://www.starding.com/,EdTech,@StarDingAFL,Dublin BIC
Starta Channel,http://startachannel.com/,Entertainment & Publishing,@StartaChannel,Web Summit
StartingDot,https://www.startingdot.com/,Advertising & Marketing,@startingdot,Digital Hub
Starverse Media,http://www.starverse.com,Entertainment & Publishing,@starversemedia,"Nova UCD, Accenture"
StatCounter,https://statcounter.com/,Big Data & Analytics,@statcounter,"Bank of Ireland, IVCA, Dublin BIC, GEC"
Statico,https://statico.io/,Big Data & Analytics,@statico_io,Crunchbase
Statwolf,http://statwolf.com/,Big Data & Analytics,@statwolf,Crunchbase
Stitcherads,www.stitcherads.com,Advertising & Marketing,,Accenture
Storm Technology,http://www.storm.ie/,Enterprise,,"AIB, Bank of Ireland, IVCA, ISA"
Storpal,http://www.storpal.com/,eCommerce,,Dublin BIC
Storyflow,http://storyflow.net/,Entertainment & Publishing,@TheStoryFlow,"Bank of Ireland, IVCA"
StoryToys,http://storytoys.com,Entertainment & Publishing,@StoryToys,"AIB, Bank of Ireland, IVCA"
Strata3,http://www.strata3.com,Enterprise,@strata3,"AIB, Bank of Ireland, IVCA"
Stratum,http://www.stratum.ie/,Enterprise,,"AIB, Dublin BIC"
Strudy,http://www.strudy.com/,Travel,,Web Summit
